tag,artigo,grupo,500,502,504,506,508,510,512,514,516,518,520,522,524,526,528,530,532,534,536,538,540,542,544,546,548,550,552,554,556,558,560,562,564,566,568,570,572,574,576,578,580,582,584,586,588,590,592,594,596,598,600,602,604,606,608,610,612,614,616,618,620,622,624,626,628,630,632,634,636,638,640,642,644,646,648,650,652,654,656,658,660,662,664,666,668,670,672,674,676,678,680,682,684,686,688,690,692,694,696,698,700,702,704,706,708,710,712,714,716,718,720,722,724,726,728,730,732,734,736,738,740
5E,5,1,18.75,18.08,17.75,17.25,17.08,16.75,16.58,16.75,16.91,16.91,17.07,17.07,17.4,17.57,17.73,17.73,17.9,18.07,18.07,18.4,18.23,18.07,17.89,17.73,17.57,17.39,17.06,16.9,16.56,16.39,16.23,16.06,15.89,15.89,15.73,15.61,15.56,15.72,15.89,16.05,16.22,16.72,17.21,17.38,17.54,18.04,18.54,19.04,19.54,20.37,21.03,21.53,22.53,23.52,25.02,26.51,27.51,28.34,29.67,30.83,32.16,33.32,34.49,35.65,36.65,37.64,37.64,39.14,39.63,39.79,39.96,39.79,39.63,39.96,38.79,38.13,37.3,36.13,35.47,33.97,32.64,31.65,30.65,29.15,27.99,26.82,25.99,24.33,23.5,22.66,21.83,20.83,19.84,19.17,18.17,17.51,16.67,16.17,15.34,14.68,14.51,13.68,13.18,12.51,12.18,11.68,11.35,10.85,10.51,9.85,9.68,9.51,9.18,8.84,8.68,8.51,8.18,08.01,7.68,7.51,7.18
6B,6,2,20.54,19.28,18.47,17.96,17.46,17.05,16.7,16.45,16.3,16.25,16.35,16.39,16.63,16.7,16.99,17.11,17.34,17.36,17.46,17.41,17.33,17.17,17.03,16.44,16.05,15.59,15.03,14.8,13.52,13.06,12.12,11.7,11.31,10.79,10.28,9.88,9.24,09.07,8.79,8.46,8.36,8.16,8,7.91,7.83,7.78,7.75,7.81,7.86,7.93,08.06,8.23,8.41,8.6,8.82,8.98,9.34,9.72,10.12,10.34,10.64,11.23,11.65,11.8,12.23,12.49,12.93,13.38,13.76,14.06,14.38,14.54,14.71,14.84,14.89,14.9,14.79,14.72,14.58,14.39,14.09,13.72,13.39,13.01,12.6,12.16,11.91,11.4,11.05,10.54,10.17,9.7,9.27,8.82,8.67,8.32,7.79,7.37,7.31,07.02,6.8,6.5,6.18,06.04,5.8,5.56,5.36,5.13,4.98,4.77,4.68,4.48,4.33,4.17,04.09,3.92,3.79,3.72,3.57,3.42,3.32
7A,7,2,14.49,14.27,14.25,14.11,14.16,14.09,14.23,14.5,14.86,15.14,15.59,15.87,16.5,17.07,17.6,18.61,19.16,19.64,20.35,21.18,21.98,22.47,23.2,23.25,23.76,23.78,23.52,23.39,23.02,22.29,21.55,20.81,19.53,19.11,17.46,17.14,15.81,14.87,14.2,13.47,12.32,11.58,11.13,10.9,10.21,9.81,9.36,09.04,8.88,8.53,8.37,8.24,8.16,8.12,08.05,08.02,7.96,08.02,08.07,8.16,8.18,8.24,8.29,8.29,8.33,8.29,8.23,8.24,8.19,08.05,7.91,7.73,7.63,7.31,7.15,07.04,6.8,6.64,6.53,6.3,6.14,06.03,5.86,5.85,5.69,5.64,5.56,5.47,5.42,5.42,5.45,5.36,5.36,5.32,5.31,5.31,5.25,5.25,5.2,5.18,05.09,05.03,4.92,4.79,4.7,4.53,4.31,4.2,04.09,3.92,3.73,3.68,3.59,3.72,3.32,3.14,03.04,2.84,2.76,2.65,2.54
7B,7,2,11.98,10.89,10.49,9.79,9.51,8.93,8.71,8.4,8.28,08.08,7.89,7.84,7.77,7.72,7.77,7.88,7.99,8.16,8.22,8.5,8.86,9.27,9.34,10.21,10.49,11.07,11.59,12.33,12.81,13.73,14.37,14.66,15.54,15.88,15.92,16.08,16.15,15.92,15.5,15.11,14.3,13.96,13.49,13.03,11.69,11.4,10.53,10.2,9.86,9.48,9.13,8.94,8.74,8.55,8.49,8.38,8.33,8.22,8.16,8.11,08.09,7.94,7.83,7.63,7.31,7.21,6.77,6.6,6.18,5.88,5.59,5.37,05.09,4.78,4.42,4.25,3.96,3.75,3.53,3.41,3.25,03.03,2.92,2.69,2.58,2.47,2.3,2.19,02.08,02.02,1.98,1.91,1.8,1.69,1.63,1.58,1.52,1.46,1.41,1.35,1.3,1.29,1.24,1.19,1.13,01.07,01.05,01.02,01.01,0.98,0.96,0.91,0.88,0.87,0.86,0.84,0.83,0.77,0.73,0.71,0.68
8A,8,3,03.04,3.15,3.27,3.35,3.5,3.58,3.69,3.86,04.04,4.16,4.25,4.46,4.59,4.75,4.92,5.17,5.29,5.52,5.69,5.98,6.23,6.38,6.69,6.93,7.13,7.47,7.76,08.02,8.4,8.68,8.98,9.31,9.91,10.04,10.54,11.12,11.37,11.97,12.31,12.88,13.28,14.19,14.89,15.28,15.99,16.32,16.98,17.82,18.14,19.38,19.69,21.03,21.13,21.95,22.7,23.66,24.75,25.27,25.19,26.11,26.99,27.28,28.57,29.14,29.49,30.11,30.41,31.13,31.36,31.59,31.75,31.91,31.98,32.03,31.98,31.87,31.67,31.44,31.21,30.75,30.54,29.97,29.72,29.66,28.6,28.03,27.23,26.82,26.29,25.8,25.24,24.75,23.71,23.4,22.83,21.87,21.71,21.14,20.48,20.27,19.3,18.99,18.65,17.98,17.47,17,16.58,16.14,15.63,15.41,14.8,14.52,14.6,13.85,13.54,13.41,12.98,12.55,12.3,11.98,11.6
8B,8,3,1.70,1.77,1.87,1.95,02.03,02.09,2.22,2.3,2.36,2.49,2.58,2.72,2.85,2.95,03.08,3.27,3.34,3.53,3.68,3.81,04.06,4.14,4.39,4.6,4.86,5.11,5.39,5.55,5.92,6.25,6.5,6.93,7.29,7.69,08.01,8.42,8.76,9.28,9.77,10.2,10.97,11.38,12.11,13.05,13.09,13.82,14.81,15.24,16.06,17.02,17.49,17.97,18.66,19.06,19.64,20.34,20.94,21.33,21.73,21.87,22.21,22.31,22.32,22.25,22.12,21.92,21.59,21.45,20.63,20.22,19.87,19.29,18.29,17.79,17.64,16.93,16.19,15.84,15.15,14.77,13.99,13.65,13.75,12.64,12.14,11.56,11.25,10.86,10.31,9.99,9.62,9.28,8.88,8.61,8.24,08.02,7.78,7.55,7.44,07.08,6.84,6.6,6.44,6.18,6,5.78,5.62,5.39,5.32,5.19,4.99,4.89,4.73,4.6,4.48,4.4,4.31,4.14,04.07,3.97,3.87
8C,8,3,7.15,7.38,7.84,8.15,8.71,9,9.61,10.23,10.59,11.15,11.61,12.14,13.35,13.78,14.49,14.77,15.37,16.2,17.18,17.8,18.54,19.15,19.76,19.81,20.98,21.44,21.84,22.31,22.62,22.85,23.07,23.17,23.16,23.13,23.01,22.91,22.44,22.09,21.68,21.17,20.76,20.24,19.75,19.61,18.96,18.05,17.48,16.79,16.15,15.99,15.15,14.79,14.02,13.55,12.97,12.81,12.16,11.7,11.53,11.07,10.59,10.3,9.93,9.64,9.32,8.95,8.81,8.53,8.22,7.9,7.67,7.43,7.12,6.94,6.7,6.56,6.38,6.2,5.99,5.91,5.72,5.58,5.49,5.3,5.15,05.07,4.85,4.75,4.63,4.55,4.43,4.35,4.15,4.12,04.04,3.99,3.88,3.8,3.69,3.6,3.5,3.49,3.41,3.33,3.29,3.2,3.17,3.12,03.03,2.94,2.89,2.85,2.78,2.74,2.7,2.69,2.62,2.54,2.5,2.47,2.46
8D,8,3,1.4,1.49,1.51,1.57,1.61,1.66,1.77,1.81,1.92,02.01,02.07,2.13,2.23,2.33,2.43,2.53,2.6,2.74,2.84,2.95,3.1,3.2,3.4,3.51,3.59,3.86,3.97,4.15,4.38,4.58,4.79,4.99,5.3,5.5,5.77,6.17,6.37,6.73,6.9,7.33,7.65,08.06,8.34,8.87,9.65,9.9,10.47,10.91,11.41,11.8,12.5,13.34,13.6,14.83,15.05,16.03,16.53,17.24,17.96,18.79,19.39,20.21,20.84,21.59,21.97,22.69,22.97,23.55,23.99,24.26,24.35,24.43,24.55,24.5,24.46,24.2,23.87,23.68,23.18,22.53,22.44,21.7,20.99,20.53,19.94,19.27,18.55,18.39,17.39,16.91,16.28,15.93,15.09,14.47,14.03,13.66,13.19,12.33,12.6,11.78,11.48,11.05,10.45,10.17,9.88,9.55,9.31,8.96,8.81,8.25,8.19,7.94,7.59,7.46,7.17,6.88,6.81,6.66,6.46,6.3,6.1
8E,8,3,2.92,3.10,3.1,3.27,3.37,3.57,3.72,3.95,4.1,4.31,4.47,4.76,05.04,5.23,5.49,5.84,6.1,6.45,6.79,7.21,7.57,7.88,8.44,09.02,9.37,9.99,10.61,11.2,11.81,12.39,13.06,13.72,14.73,15.13,15.82,16.14,17.24,18.18,18.65,19.31,20.04,20.36,20.65,21.02,21.44,21.68,21.74,21.74,21.67,21.4,21.12,21.07,20.39,19.96,19.62,18.65,18.47,18.32,17.43,17.23,16.31,15.9,15.4,15.11,14.61,14.25,13.72,13.42,13.24,12.9,12.56,12.42,12.06,12.03,11.81,11.68,11.59,11.5,11.42,11.37,11.33,11.42,11.37,11.42,11.49,11.57,11.59,11.67,11.78,11.82,11.98,12.11,12.18,12.29,12.37,12.5,12.53,12.52,12.59,12.59,12.55,12.50,12.42,12.29,12.2,11.98,11.76,11.59,11.42,11.18,10.95,10.74,10.44,10.02,9.76,9.61,9.15,8.89,8.74,8.41,7.83
8F,8,3,4.75,4.86,05.08,5.17,5.37,5.6,5.79,5.99,6.24,6.46,6.72,6.94,7.29,7.54,7.85,8.16,8.43,8.75,9.1,9.51,9.92,10.34,10.97,11.29,11.66,12.09,12.76,13.27,13.78,14.22,14.62,15.05,15.43,15.92,16.38,16.83,17.23,17.52,17.67,17.84,18.03,18.14,18.2,18.14,18.01,17.82,17.64,17.52,17.26,16.95,16.65,16.33,16.02,15.55,15.14,14.98,14.63,14.11,13.75,13.44,13.25,12.9,12.56,12.4,12.09,11.83,11.58,11.37,11.15,10.86,10.75,10.59,10.34,10.17,9.96,9.82,9.61,9.46,9.26,9.1,8.91,8.68,8.5,8.31,8.22,7.96,7.8,7.6,7.35,7.24,07.08,6.93,6.72,6.51,6.42,6.21,5.99,5.89,5.74,5.58,5.43,5.27,5.16,05.01,4.86,4.75,4.65,4.5,4.39,4.24,4.13,04.02,3.93,3.82,3.77,3.67,3.57,3.4,3.41,3.27,3.26
