tag,artigo,grupo,500,502,504,506,508,510,512,514,516,518,520,522,524,526,528,530,532,534,536,538,540,542,544,546,548,550,552,554,556,558,560,562,564,566,568,570,572,574,576,578,580,582,584,586,588,590,592,594,596,598,600,602,604,606,608,610,612,614,616,618,620,622,624,626,628,630,632,634,636,638,640,642,644,646,648,650,652,654,656,658,660,662,664,666,668,670,672,674,676,678,680,682,684,686,688,690,692,694,696,698,700,702,704,706,708,710,712,714,716,718,720,722,724,726,728,730,732,734,736,738,740
8G,8,3,0.46,0.46,0.51,0.54,0.54,0.55,0.57,0.6,0.62,0.63,0.64,0.65,0.69,0.72,0.73,0.74,0.75,0.78,0.79,0.84,0.87,0.88,0.92,0.93,0.97,0.99,01.02,01.07,1.11,1.12,1.13,1.17,1.18,1.21,1.25,1.34,1.35,1.41,1.44,1.48,1.58,1.58,1.67,1.72,1.76,1.89,1.9,2,02.04,2.13,2.18,2.32,2.37,2.46,2.55,2.69,2.78,2.96,03.02,3.16,3.25,3.43,3.62,3.71,3.93,04.08,4.27,4.5,4.69,4.86,5.1,5.34,5.56,5.85,6.13,6.36,6.71,07.03,7.39,7.77,8.14,8.47,8.84,9.28,9.64,10.37,10.73,11.11,11.52,11.88,12.25,12.86,13.23,13.5,13.97,14.19,14.53,14.75,15.03,15.17,15.31,15.38,15.45,15.41,15.31,15.22,15.1,14.81,14.61,14.39,14.02,13.72,13.41,13.08,12.71,12.65,11.94,11.61,11.23,10.9,10.58
9,9,1,37,35.65,34.85,34.49,33.51,32.7,31.1,30.73,30.07,28.58,27.82,27.83,26.34,25.62,24.91,24.16,23.57,22.76,22.17,21.6,20.97,20.31,19.66,19.3,19.1,18.46,18.08,17.68,17.12,16.71,16.22,16.15,15.74,15.54,15.23,15.03,14.73,14.67,14.42,14.31,14.12,14.02,13.82,13.93,13.75,13.71,13.61,13.71,13.72,13.75,13.82,13.91,14.02,14.12,14.22,14.42,14.53,14.83,15.24,15.44,15.75,15.95,16.35,16.67,17.07,17.73,17.98,18.28,18.91,19.54,19.8,20.41,21.42,21.78,22.29,23.03,23.39,23.77,24.73,24.99,25.9,26.39,27.06,27.33,27.82,28.04,28.14,28.44,28.65,28.85,28.95,28.95,28.85,28.74,28.54,28.4,28.04,27.73,27.33,26.7,26.51,26.11,25.23,24.68,23.92,23.77,23.36,22.45,21.84,21.3,20.82,20.32,19.61,19.1,18.52,18.38,17.3,16.67,16.46,16.25,15.42
10A,10,4,2.94,2.97,3.1,3.21,3.28,3.36,3.57,3.51,3.71,3.89,3.94,3.99,4.18,4.32,4.29,4.64,4.7,4.86,4.99,5.4,5.61,5.68,5.99,6.2,6.34,6.31,6.92,7.28,7.42,7.71,8.18,8.52,09.03,9.12,9.78,10.18,10.91,11.44,11.89,12.42,12.9,13.38,14.74,15.45,16.11,16.79,17.53,18.08,19.01,19.88,20.72,21.42,22.13,23.81,24.63,25.32,25.97,26.73,27.08,27.51,27.8,28.07,28.21,27.83,27.78,27.18,26.52,25.81,25.78,25.24,24.17,23.75,23.08,22.83,21.73,21.41,20.65,19.84,19.03,18.37,17.67,17.07,16.53,16.24,15.58,14.85,14.19,14.04,13.46,13.36,12.41,12.15,11.74,11.34,10.93,10.67,9.99,9.85,9.31,8.91,8.43,8.37,7.96,7.78,7.44,7.4,6.79,6.56,6.39,06.07,5.8,5.67,5.53,5.26,5.11,4.86,4.72,4.59,4.31,4.23,3.99
10B,10,4,5.1,5.36,5.4,5.53,5.67,5.71,5.93,06.07,6.24,6.41,6.46,6.77,6.91,07.08,7.43,7.73,7.95,7.97,8.35,8.56,8.85,09.02,9.43,9.68,10.14,10.4,10.68,11.11,11.34,12.19,12.26,12.88,13.67,14.36,14.63,15.13,16.09,16.24,16.74,17.61,18.51,18.79,19.6,20.49,22.11,22.52,23.37,24.54,25.13,25.47,26.99,27.75,28.79,29.17,29.27,30.22,30.55,31.19,31.48,31.55,31.74,31.74,31.41,30.94,30.5,30.26,29.86,28.61,28.24,27.53,27.04,26.79,25.19,24.63,24.18,23.5,22.44,22.21,21.14,20.78,19.73,19.23,18.58,17.54,17.27,16.78,16.91,15.84,15.43,14.7,14.2,14.05,13.83,13.41,12.73,12.33,12.05,11.64,11.4,11.03,10.55,10.58,9.98,9.65,9.27,9.13,8.88,8.48,08.08,7.79,7.32,7.48,7.16,6.94,6.84,6.46,6.41,6.1,06.08,5.87,5.41
10C,10,4,7.1,7.13,7.25,7.38,7.63,7.69,7.84,7.88,8,8.13,8.4,8.43,8.63,8.61,9.13,9.2,9.42,9.67,9.93,10.01,10.26,10.55,10.91,11.24,11.39,11.64,12.09,12.42,12.86,13.14,13.64,14.02,14.3,14.98,15.5,16.21,16.57,17.19,17.65,18.34,18.91,19.81,20.4,21.02,21.66,22.25,23.04,23.85,24.39,25.65,26.71,27.54,28.18,28.9,29.69,30.28,30.72,31.65,32.15,32.65,32.73,33.2,33.41,33.53,33.41,33.29,33.03,32.67,32.28,31.66,31.79,30.54,29.47,29.16,28.25,28.37,27.02,26.63,25.78,25.25,24.78,24.08,23.8,23.02,22.54,22.35,21.72,21.34,20.96,20.42,20.09,19.86,19.28,18.94,18.85,18.17,17.43,17.07,16.9,16.29,15.95,15.31,14.94,14.62,14.1,13.67,13.18,12.93,12.43,12.07,11.65,11.18,10.68,10.43,10.01,9.48,09.01,8.81,8.43,08.06,7.91
10D,10,4,6.34,6.36,6.53,6.54,6.69,6.7,6.84,6.93,7.12,7.19,7.36,7.48,7.6,7.72,7.83,08.07,8.18,8.3,8.53,8.76,8.84,09.07,9.35,9.7,9.9,10.14,10.43,10.74,11.12,11.4,11.83,12.38,12.73,13.08,13.89,14.28,14.98,15.29,15.94,16.36,16.79,17.01,18.43,19.18,19.85,19.99,21.48,22.14,22.85,24.47,24.77,26.02,27.45,27.94,29.24,29.98,30.64,30.86,32.49,32.51,33.75,34.08,34.31,34.27,34.48,34.17,33.66,32.7,32.61,32.02,30.63,29.93,28.59,28.08,26.82,26.62,25.68,24.39,23.51,21.61,21.09,20.46,19.75,18.75,18.28,17.48,16.37,15.73,15.37,14.82,14.27,13.97,13.57,13.03,12.56,12.09,11.23,10.89,10.92,10.48,10.1,9.55,9.25,09.03,8.57,8.11,7.76,7.53,7.32,6.82,6.51,6.16,6.1,5.86,5.59,5.2,5.28,05.04,4.81,4.57,4.27
10E,10,4,7.34,7.45,7.56,7.71,7.82,7.9,08.08,8.22,8.34,8.51,8.63,8.89,09.02,9.17,9.4,9.72,9.94,10.15,10.36,10.62,10.9,11.56,11.65,11.92,12.43,12.5,13.17,13.61,13.85,14.55,14.9,15.6,16.77,17.24,17.33,19.02,19.28,20.67,21.38,22.76,23.46,24.78,25.37,26.36,28.76,29.91,31.82,32.56,34.16,36.48,37.24,39.64,41.51,44.06,45.57,47.55,49.71,51.31,51.33,52.62,53.56,53.49,53.67,53.04,51.99,50.38,49.87,48.17,45.62,43.86,41.07,40.69,35.31,33.94,32.49,32.35,29.63,28.93,27.18,26.3,24.51,23.01,22.54,20.73,19.91,19.44,19.01,18.34,17.89,17.8,17.28,16.95,16.74,16.63,16.63,16.63,16.63,16.63,16.63,16.63,16.74,16.85,16.95,17.06,17.06,17.06,17.06,16.93,16.65,16.63,16.48,16.14,15.82,15.78,15.03,14.6,14.49,13.93,13.39,12.96,12.52
10F,10,4,10.13,10.42,10.48,10.57,10.62,10.67,10.74,10.86,11.01,11.32,11.24,11.36,11.59,11.82,12.01,11.97,12.5,12.69,12.77,13.08,13.27,13.5,13.88,14.21,14.63,14.82,15.15,15.49,15.93,16.17,16.75,17.26,17.81,18.67,19.19,19.58,20.09,20.36,21.57,22.56,23.04,23.63,24.34,25.52,26,26.7,27.84,28.63,28.84,30.13,31.05,31.19,31.3,32.13,32.4,32.99,32.74,33.15,33.01,32.09,31.56,31.13,31.05,30.2,28.92,28.89,28.27,27.55,26.07,25.45,24.4,23.04,22.53,21.18,20.59,19.73,18.88,17.39,16.86,16.26,15.31,14.86,14.25,14.19,13.76,13.14,12.83,12.39,12.1,11.73,11.5,11.39,11.17,10.96,10.78,10.84,10.74,10.55,10.62,10.62,10.62,10.62,10.62,10.62,10.62,10.73,10.84,10.95,11.06,11.17,11.28,11.5,11.62,11.83,11.97,12.39,12.61,12.88,13.27,13.54,13.81
10G,10,4,2.28,2.67,2.83,2.97,3.12,3.23,3.33,3.38,3.51,3.62,3.72,3.95,04.03,4.13,4.34,4.45,4.77,4.9,5.17,5.3,5.6,5.85,06.08,6.33,6.58,07.02,7.23,7.68,7.89,7.99,8.66,9.1,9.94,10.35,10.79,10.93,12.47,12.77,13.38,14.81,15.95,16.57,17.26,17.98,19.3,19.5,21.21,23.4,24.48,25.83,26.02,27.22,28.15,30.91,31.16,32.46,32.81,33.12,33,32.79,32.46,31.79,31.14,29.44,28.29,27.7,25.84,24.1,23.99,22.48,21.93,19.14,18.53,17.97,16.89,16.46,14.45,13.9,13.58,12.28,11.88,11.43,10.96,10.83,9.41,9.31,8.72,8.61,8.29,7.89,7.46,7.13,6.91,6.58,6.25,06.03,5.7,5.48,5.26,05.04,4.82,4.61,4.39,04.08,04.01,3.84,3.73,3.51,3.29,3.18,03.07,2.85,2.74,2.63,2.52,2.41,2.41,2.41,2.18,1.93,1.79
10H,10,4,17.2,17.57,18.22,18.65,19.2,20.04,20.57,20.77,22.12,22.52,23.27,24.49,24.84,25.16,26.83,27.23,27.98,28.66,29.83,30.02,32.19,32.61,33.19,33.46,33.83,35.03,35.47,35.68,35.79,35.79,35.68,35.47,35.3,34.37,34.01,32.97,31.85,30.56,29.87,29.71,28.12,27.41,26.47,24.2,23.56,22.93,20.69,20.11,19.85,18.22,17.99,16.67,15.29,15.31,14.72,13.56,13.01,12.58,11.93,11.61,10.98,10.56,10.24,10.15,9.87,9.4,9.33,9.11,9,8.89,8.68,8.57,8.46,8.46,8.35,8.46,8.57,8.68,8.69,8.79,8.89,9.11,9.22,9.44,9.65,9.87,10.09,10.3,10.62,10.85,11.06,11.39,11.61,11.81,12.19,12.44,12.72,13.05,13.11,13.26,13.45,13.56,13.59,13.63,13.81,13.92,13.66,13.55,13.45,13.26,12.92,12.8,12.66,12.26,11.88,11.5,11.39,11.06,10.74,10.32,10.27
